"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: marzo 2026"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/abr/2026 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/03/2026","1","4116.5543","0.5848","25.578","827.9361","23466.3985","361.7347","385.2673","1827.1211","1523.752","2491.5626","1016.7094"
"SEN","01/03/2026","2","3859.31","0.0005","26.4153","831.6152","22569.9149","288.7183","385.8895","1728.8074","1523.4539","2410.8069","932.0251"
"SEN","01/03/2026","3","3791.1738","0.0004","26.0279","831.9633","21838.7435","284.607","386.9492","1658.2312","1523.8186","2299.4644","893.8261"
"SEN","01/03/2026","4","3789.6914","0.0007","26.1102","831.9659","21237.0437","282.6497","387.2904","1500.8926","1523.6106","2241.3827","818.4919"
"SEN","01/03/2026","5","3699.7324","0.0007","26.0343","816.8859","21029.5718","280.9391","387.571","1429.0088","1524.0402","2219.8897","805.2743"
"SEN","01/03/2026","6","3559.8632","0.001","26.3057","651.052","21048.5873","281.2306","386.8393","1332.8848","1523.9784","2204.1739","797.7915"
"SEN","01/03/2026","7","3459.1378","26.8653","26.1855","641.7263","20988.6491","280.5313","387.2953","1333.3539","1524.551","2156.5063","798.3234"
"SEN","01/03/2026","8","3473.808","736.3825","26.4034","642.6263","20239.4007","279.5961","386.8045","1389.9903","1525.0827","1885.5671","796.2787"
"SEN","01/03/2026","9","3410.1855","3769.4128","26.5583","642.5322","17844.526","257.5797","388.309","879.511","1525.2898","1878.6753","796.6258"
"SEN","01/03/2026","10","3892.0646","4518.7469","26.5705","643.7614","16818.5537","245.8524","385.598","994.0074","1525.8864","1846.2842","809.2402"
"SEN","01/03/2026","11","3744.3815","4518.8529","26.5766","644.3624","16840.5356","243.4863","383.7192","1341.203","1526.017","1771.7021","809.7306"
"SEN","01/03/2026","12","3577.7548","4667.1815","26.5662","641.5513","17059.0088","244.2432","379.8564","1457.6238","1525.7338","1742.1219","804.1135"
"SEN","01/03/2026","13","3857.6369","4664.5597","26.5493","642.0881","16958.2552","249.3733","377.9736","1593.2447","1523.9675","1718.3727","806.5105"
"SEN","01/03/2026","14","4154.927","4528.4334","26.2833","642.99","17046.8169","278.1446","377.7775","1583.6132","1523.2057","1698.4495","825.6916"
"SEN","01/03/2026","15","4270.4405","5001.9575","25.2308","643.4197","17035.7335","284.1281","378.5611","1725.2622","1520.7397","1710.8473","860.6261"
"SEN","01/03/2026","16","4275.7502","4802.5156","23.4753","644.0423","17718.9972","365.7636","377.9473","1844.4597","1510.3999","1731.7323","946.4215"
"SEN","01/03/2026","17","4435.5689","4821.4381","25.6209","642.4313","18227.9395","502.8751","378.697","2227.8727","1498.128","1776.3799","962.9581"
"SEN","01/03/2026","18","4589.6167","4179.9485","26.8499","691.8001","18978.4015","535.2314","384.5476","2945.3907","1496.2835","1811.8604","1095.7419"
"SEN","01/03/2026","19","4788.9484","978.2175","26.7161","818.7798","21658.8522","531.6125","387.7979","4050.6673","1501.1497","1995.8172","1208.6021"
"SEN","01/03/2026","20","4832.0555","33.0976","26.3109","816.7938","23802.6983","530.92","389.5085","4993.3578","1502.8167","2088.0266","1265.7839"
"SEN","01/03/2026","21","4746.1048","19.3329","25.7809","816.5442","24310.9733","540.5125","391.018","4749.2785","1508.382","2096.8077","1279.0125"
"SEN","01/03/2026","22","4610.112","13.0818","24.7962","817.5045","24291.4247","542.9573","391.2718","4367.0308","1511.9966","2103.9182","1276.0707"
"SEN","01/03/2026","23","4718.6251","9.2049","26.744","816.6687","23529.8","537.4433","390.1745","3544.3341","1515.204","2153.2217","1253.7491"
"SEN","01/03/2026","24","4746.8158","6.1128","25.385","817.5564","22814.9107","374.6744","392.1722","2709.3245","1517.6286","2103.4996","1169.749"
"SEN","02/03/2026","1","4649.4665","0.5103","25.5368","693.8639","22030.8871","246.1152","357.635","2572.7945","1518.9321","1992.9327","1044.7688"
"SEN","02/03/2026","2","4333.0424","0.0147","26.0461","642.5459","21124.6518","236.9205","350.7472","2417.5561","1520.1542","1886.8533","1002.4607"
"SEN","02/03/2026","3","4179.675","0.018","25.9256","644.0939","20483.4614","212.1182","349.6587","2357.3122","1521.5503","1921.5496","1023.8651"
"SEN","02/03/2026","4","4117.6542","0.0178","25.7937","646.4103","20241.3961","207.0322","350.1024","2018.24","1522.4743","1930.3998","1020.8022"
